𠂊	人[06]
儿	人[04]
从	人[02]
人	人[00]
化	人[08]
介	人[09]
匕	人[01]
卩	人[03]
尸	人[05]
𠂉	人[07]
亟	人[14]
僉	人[12]
千	人[10]
北	人[11]
令	人[13]
展	人[15]
丏	人[17]
久	人[26]
万	人[24]
并	人[22]
𡈼	人[20]
比	人[21]
卻	人[23]
巽	人[25]
丐	人[27]
雨	水[06]
冫	水[04]
巛	水[02]
水	水[00]
谷	水[08]
𣶒	水[09]
月	水[01]
夕	水[03]
回	水[05]
云	水[07]
寒	水[14]
原	水[12]
兆	水[10]
夜	水[13]
气	水[15]
益	水[26]
冬	水[24]
泉	水[22]
永	水[20]
昔	水[21]
乞	水[25]
夫	大[06]
元	大[04]
立	大[02]
大	大[00]
去	大[08]
無	大[09]
女	大[01]
文	大[03]
艮	大[05]
欠	大[07]
兀	大[14]
並	大[12]
天	大[10]
婁	大[11]
交	大[13]
丮	大[15]
旡	大[17]
亦	大[26]
尢	大[24]
屰	大[22]
太	大[20]
要	大[21]
亢	大[23]
鬥	大[25]
愛	大[27]
果	木[06]
未	木[04]
束	木[02]
木	木[00]
林	木[08]
散	木[09]
竹	木[01]
不	木[03]
才	木[05]
瓜	木[07]
乘	木[16]
查	木[14]
柬	木[12]
末	木[10]
个	木[11]
咅	木[13]
黎	木[15]
𠂔	木[17]
采	木[26]
朱	木[24]
朿	木[22]
本	木[20]
支	木[21]
帝	木[23]
乇	木[25]
喪	木[27]
可	口[06]
公	口[04]
甘	口[02]
口	口[00]
壴	口[08]
声	口[09]
言	口[01]
舌	口[03]
音	口[05]
古	口[07]
后	口[16]
司	口[14]
甚	口[12]
員	口[10]
龠	口[18]
庚	口[19]
吳	口[11]
旨	口[13]
昌	口[15]
亏	口[26]
于	口[24]
乎	口[22]
平	口[20]
曲	口[28]
南	口[29]
加	口[21]
香	口[23]
曰	口[25]
呂	口[27]
阜	土[06]
厂	土[04]
山	土[02]
土	土[00]
圭	土[08]
丹	土[09]
田	土[01]
用	土[03]
里	土[05]
甫	土[07]
石	土[14]
丘	土[12]
堯	土[10]
段	土[24]
坴	土[22]
塞	土[20]
丹	土[21]
四	十[06]
三	十[04]
二	十[02]
一	十[00]
五	十[08]
丨	十[09]
十	十[01]
上	十[03]
中	十[05]
下	十[07]
兩	十[12]
丙	十[10]
世	十[11]
再	十[22]
冓	十[20]
廿	十[21]
夬	金[06]
士	金[04]
王	金[02]
金	金[00]
鼎	金[08]
勿	金[09]
刀	金[01]
卯	金[03]
半	金[05]
七	金[07]
玉	金[12]
刁	金[11]
分	金[21]
象	牛[06]
能	牛[04]
馬	牛[02]
牛	牛[00]
鼠	牛[08]
兔	牛[09]
羊	牛[01]
豕	牛[03]
犬	牛[05]
虎	牛[07]
釆	牛[14]
鹿	牛[12]
角	牛[10]
䒑	牛[11]
亥	牛[13]
犮	牛[15]
麗	牛[22]
告	牛[20]
善	牛[21]
彑	牛[23]
豸	牛[25]
光	火[06]
黑	火[04]
者	火[02]
火	火[00]
炎	火[08]
旦	火[09]
日	火[01]
是	火[03]
白	火[05]
主	火[07]
电	火[12]
熏	火[10]
朝	火[11]
昜	火[13]
百	火[15]
申	火[22]
赤	火[20]
早	火[21]
暴	火[23]
牙	肉[06]
咼	肉[04]
肉	肉[02]
心	肉[00]
囟	肉[08]
直	肉[09]
目	肉[01]
頁	肉[03]
自	肉[05]
耳	肉[07]
齒	肉[16]
骨	肉[14]
多	肉[12]
冄	肉[10]
眉	肉[11]
首	肉[13]
鼻	肉[15]
脊	肉[17]
與	肉[26]
另	肉[24]
歹	肉[22]
而	肉[20]
見	肉[21]
面	肉[23]
皮	肉[25]
毛	肉[27]
巠	幺[06]
网	幺[04]
幺	幺[02]
糸	幺[00]
專	幺[08]
帶	幺[09]
衣	幺[01]
衤	幺[03]
巾	幺[05]
冃	幺[07]
尔	幺[14]
玄	幺[12]
䜌	幺[10]
卒	幺[11]
襄	幺[13]
布	幺[15]
𤔔	幺[26]
爾	幺[24]
㡭	幺[22]
素	幺[20]
縣	幺[28]
表	幺[21]
囊	幺[23]
巿	幺[25]
免	幺[27]
㠯	子[06]
巳	子[04]
了	子[02]
子	子[00]
童	子[08]
乃	子[09]
勹	子[01]
母	子[03]
長	子[05]
黃	子[07]
台	子[14]
𦥯	子[12]
每	子[13]
耂	子[15]
𠫓	子[20]
身	子[21]
壽	子[25]
堇	子[27]
青	艸[06]
生	艸[04]
屮	艸[02]
艸	艸[00]
着	艸[08]
韭	艸[09]
禾	艸[01]
米	艸[03]
來	艸[05]
丰	艸[07]
麻	艸[12]
華	艸[10]
术	艸[11]
龹	艸[13]
齊	艸[15]
屯	艸[22]
垂	艸[20]
年	艸[21]
風	隹[06]
於	隹[04]
非	隹[02]
鳥	隹[00]
禽	隹[08]
燕	隹[09]
隹	隹[01]
雚	隹[03]
西	隹[05]
羽	隹[07]
飛	隹[12]
雈	隹[13]
烏	隹[20]
民	卜[06]
事	卜[04]
聿	卜[02]
卜	卜[00]
真	卜[08]
幸	卜[09]
示	卜[01]
辛	卜[03]
鬼	卜[05]
亡	卜[07]
氏	卜[16]
史	卜[14]
尹	卜[12]
貞	卜[10]
侖	卜[19]
畐	卜[11]
商	卜[13]
異	卜[15]
監	卜[17]
氐	卜[26]
吏	卜[24]
隶	卜[22]
占	卜[20]
冊	卜[28]
且	卜[21]
章	卜[23]
畏	卜[25]
臣	卜[27]
厶	乙[06]
己	乙[04]
乚	乙[02]
㇕	乙[00]
亞	乙[08]
龴	乙[09]
圍	乙[01]
冂	乙[03]
凵	乙[05]
匚	乙[07]
